,Strategy,F1,F2
2021-09-26 00:00:00+00:00,0.02015196564255038,-6.115478330032294,0.29145668191298957
2021-09-26 01:00:00+00:00,0.011800404585300068,-3.730808621220279,0.4300138995968933
2021-09-26 02:00:00+00:00,0.004268532789990525,-3.027903877671603,0.20340763856779454
2021-09-26 03:00:00+00:00,-0.005321931911234557,2.8198935151282023,-0.5401546535681591
2021-09-26 04:00:00+00:00,0.0013626115691007564,-0.33984136053958774,0.07242764521364585
2021-09-26 05:00:00+00:00,0.0030747653413364644,-0.9960335088514801,0.4893454787980381
2021-09-26 06:00:00+00:00,0.01728388469544938,-4.152062971294937,0.7075111671470451
2021-09-26 07:00:00+00:00,0.01952570398433499,-11.967874676312004,3.1175188807719216
2021-09-26 08:00:00+00:00,-0.000522248555102866,4.923359877388142,0.814945966522472
2021-09-26 09:00:00+00:00,-0.0692714307574024,25.382050773026727,0.5216643173153368
2021-09-26 10:00:00+00:00,0.0006730846199419562,-2.5799877549598573,-1.1955062858413876
2021-09-26 11:00:00+00:00,-0.010295419845245566,3.698604624305982,-1.088055233543415
2021-09-26 12:00:00+00:00,-0.002818068306168313,4.180624361953482,1.3854986476212816
2021-09-26 13:00:00+00:00,-0.0015527181064296973,-0.5741631277719785,-0.26515269266957786
2021-09-26 14:00:00+00:00,-0.0037274899082848662,1.6619095781196032,0.06347944255678409
2021-09-26 15:00:00+00:00,-0.005570628516466255,2.828857187154174,-0.36470370257579277
2021-09-26 16:00:00+00:00,0.007714189571058015,-4.139811893398629,0.5641010455376486
2021-09-26 17:00:00+00:00,-0.0007376389741085452,-0.0008514379532040192,0.08320641430870981
2021-09-26 18:00:00+00:00,-0.001111795739681599,0.9252516803789619,0.07545640623831584
2021-09-26 19:00:00+00:00,-0.0009221159345027748,0.2369795428003421,0.33914481929383095
2021-09-26 20:00:00+00:00,-0.0032803370084520376,2.8898354921629035,0.15452042235795652
2021-09-26 21:00:00+00:00,0.002932213829998219,-1.0618466330320064,-0.15884993994804655
2021-09-26 22:00:00+00:00,0.013020767513394932,-7.10601665483827,-0.01956120952620801
2021-09-26 23:00:00+00:00,-0.0031929148788875502,3.304658651736691,0.16780559934425393
2021-09-27 00:00:00+00:00,-0.023621609885636715,7.0934728263767965,0.9005610852148485
2021-09-27 01:00:00+00:00,-0.013469593160900474,5.732748795291652,0.028404405275890138
2021-09-27 02:00:00+00:00,0.008514469648664256,-1.638236227742948,0.8803781002051545
2021-09-27 03:00:00+00:00,0.011711224512194968,-2.5134905125044438,0.23929106160778377
2021-09-27 04:00:00+00:00,0.004000068927186224,-0.8767274934236324,-0.49109521643432735
2021-09-27 05:00:00+00:00,0.00025930254793384515,1.853543994649194,0.1354197703295005
2021-09-27 06:00:00+00:00,0.010168106331066703,-4.057835657399499,-0.7193233482654433
2021-09-27 07:00:00+00:00,0.0037604610760162407,0.4601688865163425,-1.0980509020957616
2021-09-27 08:00:00+00:00,-0.003036753616165231,1.8094449429438335,0.6758839149301094
2021-09-27 09:00:00+00:00,0.003930668861061009,-2.9579785948480213,-0.5136170079805394
2021-09-27 10:00:00+00:00,-0.0002401219223591946,3.109388616986066,0.4582930758290549
2021-09-27 11:00:00+00:00,0.0021171821090270188,0.5797680974352828,-0.5332878280676226
2021-09-27 12:00:00+00:00,0.00514859189127462,-3.2704829333745504,0.09271746030604941
2021-09-27 13:00:00+00:00,0.0015651248027085958,-1.0887899421698801,-0.03431358780587489
2021-09-27 14:00:00+00:00,0.005571760279493842,-3.48456916826165,-0.2082400433958046
2021-09-27 15:00:00+00:00,-3.4478951732451235e-05,1.158594510846248,-0.3281713670961376
2021-09-27 16:00:00+00:00,0.002544619843355179,-4.8365538532336085,-0.1168563531753757
2021-09-27 17:00:00+00:00,0.0019019210539081963,-0.1307659751280694,-0.7665652367098662
2021-09-27 18:00:00+00:00,0.0020615483903839243,-0.8187817642878578,-0.27571272290963655
2021-09-27 19:00:00+00:00,0.0012061261184172984,-0.1769055791267356,0.34294588555906547
2021-09-27 20:00:00+00:00,0.0023826100489110196,-4.175192529827586,0.6153781556558131
2021-09-27 21:00:00+00:00,-0.0035958490904451222,5.974882014262326,0.28016580548609826
2021-09-27 22:00:00+00:00,0.0005192658461163622,-0.11670743397394907,-0.2681298261254685
2021-09-27 23:00:00+00:00,0.0046260452186112815,-8.82470979703574,0.139211308028719
2021-09-28 00:00:00+00:00,0.0021404988775585478,2.2684829086489158,-0.384957218272817
2021-09-28 01:00:00+00:00,-0.002295240138175491,2.264164698463848,-0.13594248483186275
2021-09-28 02:00:00+00:00,0.0007095464728995489,-0.3031258561340534,-0.2757880125074178
2021-09-28 03:00:00+00:00,0.0011527936028687328,1.1882827030002903,-0.19583364380707338
2021-09-28 04:00:00+00:00,0.00061417450287085,1.245479901751883,-0.7295184412767758
2021-09-28 05:00:00+00:00,-5.440041078720404e-05,-2.6120659195942397,-0.04223380350719575
2021-09-28 06:00:00+00:00,-0.0006761260150546097,-1.5452492507246163,0.2970338100039683
2021-09-28 07:00:00+00:00,-0.0010907788833349106,-4.467267127450606,0.4733217190296592
2021-09-28 08:00:00+00:00,-0.001151722779317991,3.273270347059175,0.1322313582973764
2021-09-28 09:00:00+00:00,-0.0004334297806851908,0.09139638172038228,0.44669984518862765
2021-09-28 10:00:00+00:00,0.0038618609019758754,-0.6854688638201554,0.5179976159984071
2021-09-28 11:00:00+00:00,0.00012276040490720924,3.541163107181349,-0.061397466701490294
2021-09-28 12:00:00+00:00,-0.005462985854469187,-4.532956867654701,-0.1289939945912919
2021-09-28 13:00:00+00:00,0.006076477322726462,1.7603833391919161,-0.6770349650180764
2021-09-28 14:00:00+00:00,-0.01206048783413698,-4.399894417614257,0.0508891213398984
2021-09-28 15:00:00+00:00,-0.002468157457684588,-3.3058635167001906,0.4647564987882575
2021-09-28 16:00:00+00:00,-0.0047358487106501975,-2.3091835200483852,0.5551363058981974
2021-09-28 17:00:00+00:00,-0.004368011244983984,-0.5760228000579289,0.668352196385233
2021-09-28 18:00:00+00:00,0.005058233575446754,2.0424324847669757,-0.5442441084008093
2021-09-28 19:00:00+00:00,0.006284272097211161,-0.03636318682141197,0.20248679824586951
2021-09-28 20:00:00+00:00,0.0020352400621524097,2.341714592368921,0.046353617592969576
2021-09-28 21:00:00+00:00,-0.015179997338301844,2.2939886223056574,-0.5443880557556053
2021-09-28 22:00:00+00:00,0.016210702258928778,-5.399085303772915,0.45870306198590594
2021-09-28 23:00:00+00:00,0.028812239475974548,-3.812666423698031,0.14518256777987143
2021-09-29 00:00:00+00:00,-0.010453559269708623,5.265121454858109,0.114751140855964
2021-09-29 01:00:00+00:00,-0.03956971908682004,0.716505758937883,-0.7326886694460605
2021-09-29 02:00:00+00:00,-0.015077100321986716,2.467615565066466,-0.455165533394649
2021-09-29 03:00:00+00:00,-0.01362304863687507,4.23867511574871,-0.635613700756794
2021-09-29 04:00:00+00:00,0.0009255543617558852,1.1637508869083764,0.22781759180949918
2021-09-29 05:00:00+00:00,-0.010971177579538586,0.06175655372673789,-0.09455642072835253
2021-09-29 06:00:00+00:00,0.0007401355313115603,2.7086987436856593,-0.06630541132238729
2021-09-29 07:00:00+00:00,-0.0016384822075580982,-0.46022773433409075,0.12128734673952324
2021-09-29 08:00:00+00:00,0.014126798661907526,-1.5616553143517076,-0.7445019824766568
2021-09-29 09:00:00+00:00,0.003146389931552131,-2.2490913740556784,-0.03362654839760708
2021-09-29 10:00:00+00:00,-0.007459210496314283,7.1286742222262545,0.12987705374553182
