,SUSHI,PERP,AXS,AUDIO,AAVE,BTC,COMP,UNI,RAY,TRX,CEL,GRT,ENJ,DOGE,XRP,MATIC,REN,SHIB,BNB,LTC,FTM,BCH,CHZ,LINK,SOL,SNX,OMG,CRV,HT,YFI,FTT,MKR,BNT,SRM,DYDX,BAT,SPELL,HNT,OKB,CRO,MANA,SAND,LRC,IMX,GALA,ENS,1INCH,AVAX,DOT,LOOKS,LEO,SLP,WAVES,BIT,ATOM,APE,ETH,CVX,GMT,FXS,NEAR,ALGO,LDO
2021-09-26 00:00:00+00:00,0.1888432517995881,0.15484937978961044,0.15944225834450387,0.15358581334377525,0.1994118335800757,0.19675984097578722,0.19507550158977435,0.2009550843159891,0.18461959650955154,0.17983420117189625,0.07804193240567174,0.1882601568972717,0.20208335601419242,0.1905119297328571,0.19547151810796193,0.18793457299461094,0.1527040583152618,0.12347659482053361,0.2040559853775469,0.19447236994632064,0.17916103238858958,0.1961443888236498,0.19740079656342122,0.20150076583351684,0.17158421396239337,0.18835619534099893,0.13211048636236125,0.16208937807854207,0.15718529910022577,0.1991588708888753,0.18610021565382656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 01:00:00+00:00,0.18873386413445245,0.15479204046864659,0.15929578098418953,0.1534795214326895,0.20152145249628065,0.19674736036996365,0.19526645417281105,0.20100545972783923,0.18449964953547962,0.1797123033843239,0.0787904847802844,0.18812880147919125,0.2019679508212548,0.1903751865143679,0.19529782723377775,0.1880125126678309,0.15277386009298036,0.12335314067887013,0.20391246119173131,0.19431688577413717,0.17902834311861812,0.19610731816282048,0.19713615406364726,0.2012809344763049,0.17151272040267126,0.18837161629602517,0.13200782508775158,0.16199397624579379,0.15706695042231758,0.19902256012292222,0.18586234617617026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 02:00:00+00:00,0.1891471267349854,0.1553393851394569,0.1591902772531028,0.15527839067228805,0.20143696367382194,0.19625946341883257,0.19514307516477145,0.2008885565623097,0.1844770439565485,0.1798834646858639,0.07855906880259543,0.18803772017407544,0.20183400305274188,0.18991128596742685,0.19521181087456427,0.18779654665397005,0.15264261833727336,0.12330259632709487,0.20366873772195213,0.1942188365008011,0.17916293672228953,0.19609258220558476,0.19699932352575353,0.20120026227626492,0.17158658335803617,0.1886749172040001,0.1322511805452809,0.16189099137471386,0.1572554764617196,0.19884917221160475,0.18561728394871427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 03:00:00+00:00,0.18883790278339666,0.15512255553833054,0.1587581891088372,0.15554146328135057,0.20131071139040949,0.19612213283763408,0.1947517117882924,0.2007100770675464,0.18438150173086512,0.17961209365527353,0.07828872504690543,0.18762418069313294,0.2015064013833353,0.18986044568234828,0.19489305569490675,0.19022119216814276,0.15221187673775846,0.12347851770593735,0.20350957855891086,0.19373389215671777,0.17934118718158779,0.1960912109279429,0.19677142593876443,0.20164125169681804,0.1713498099874367,0.18947635730534204,0.1314639569034601,0.1639264691516776,0.15704252350340173,0.19847741083692522,0.1855778076653998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 04:00:00+00:00,0.18862100775665472,0.1548464538747294,0.15895468428422907,0.15529034143892836,0.20121648128166034,0.19587170783079644,0.1946816152297986,0.20042542422363283,0.18418874396623017,0.1800946540161757,0.07824901642048268,0.18740529936836173,0.2012990550316255,0.1896481861879887,0.1946726687378048,0.19000269716513624,0.15212142465481163,0.12335938472296144,0.20310072492358686,0.19450377447239867,0.17926480697976088,0.19581052802612614,0.1964916461624406,0.20218180896150556,0.1710395911727179,0.18997341454371233,0.131441115032661,0.16652243480470394,0.15686887076759062,0.19829759625183138,0.1853742135674328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 05:00:00+00:00,0.18854986486477035,0.15447619377614086,0.1588504614861039,0.15539330009389432,0.20120365726235273,0.1957740437784551,0.1945907670302232,0.20027712684221619,0.18400934278005765,0.18012999609423586,0.0786889349626194,0.18699268840731606,0.20124421441849782,0.18959522943562143,0.19461909040349573,0.19015879210387945,0.15300160113772676,0.12335435149141326,0.20301564830412921,0.19510350071071655,0.1793363639442617,0.19573680322024486,0.19657181933615334,0.20190498442838445,0.17089120548699993,0.18973583315435918,0.1311013384695604,0.1672768265229424,0.156987547231398,0.19833338380093496,0.18528561960125509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 06:00:00+00:00,0.18834842165484497,0.15322397951703481,0.15856732188168188,0.15477202874901724,0.20117508883775992,0.195654157682483,0.19585462775037313,0.20023638031127572,0.18403638070479938,0.1802066428158132,0.07704429938628607,0.18681136417130326,0.20124371764697335,0.1893836269371445,0.19457081877684657,0.19003464321560326,0.15227715129906347,0.12369141492214197,0.20300534048251653,0.19502063943132641,0.17910678769266009,0.1958963868585081,0.1967227985453129,0.20232051779568266,0.1708693834193693,0.18957008265761036,0.1309734448693288,0.17060234978222108,0.15638776553486952,0.1982603988550378,0.18507435143458834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 07:00:00+00:00,0.18856889072010072,0.15344317455985979,0.15872633952922394,0.1552203826723367,0.20142644493036405,0.1958356054968348,0.1960509846139974,0.20041821025138018,0.1842630090738663,0.18045477867741958,0.07709681464307921,0.187011293927186,0.19543525483713903,0.1895821526530125,0.19479462558777144,0.191057543093888,0.15249348918823635,0.12386625194147978,0.20320768158219304,0.1954044621865238,0.17914199004837308,0.19616251090324324,0.19673342860106452,0.20259324967041134,0.17118400745762924,0.18978235311247305,0.13108087939518953,0.17075372798018484,0.15589918535096323,0.19847974213805053,0.1852338605795509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 08:00:00+00:00,0.18859357576627922,0.15341954083406528,0.1588163830687827,0.1553165247735247,0.20145338732042206,0.1956897559981034,0.19644728124223967,0.20039246359112817,0.1841594802503487,0.18040020757509362,0.07714269482747148,0.18748363479130656,0.1951338406941408,0.1894437590628739,0.19469695581352617,0.1909906548882917,0.15258858151005308,0.12374927517631427,0.20316410061234633,0.19531262607658126,0.17984860593668456,0.1961513085212058,0.1967270490797363,0.20257605550420593,0.17108724611791695,0.18991009721204938,0.13125903253114432,0.17087852234334402,0.1549033621160547,0.19834172321770208,0.18529168848980343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 09:00:00+00:00,0.18898203205206193,0.15449284640122374,0.15998179435579532,0.1552782336290618,0.20123633008514505,0.19579586386306144,0.19530125480922536,0.20066090611947934,0.1845473514018192,0.18123253856665827,0.07599184276819225,0.18782092255459665,0.195413385559268,0.18983209689670746,0.1946731265498571,0.19106400571074938,0.1527475662298642,0.12453414149649754,0.20257953161924383,0.19558574472162052,0.17955096335218027,0.19642029997668214,0.1974059639275093,0.20262704970883838,0.17130416337611098,0.19002232678670308,0.13187236678535758,0.1716927497342448,0.14907951855134552,0.19832240639312518,0.18448504339233177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 10:00:00+00:00,0.1905698557918674,0.131534009072518,0.16126494331942692,0.15613605452990278,0.20241556666679353,0.19711603003059966,0.19617413226559316,0.2020632668283645,0.1856881049632315,0.18241453922354425,0.07613911692384856,0.18864809089854823,0.19583167151137168,0.19049621987760795,0.19602648225443944,0.19229530859554797,0.15365646732714286,0.12513485674787087,0.20375698138383733,0.1966202341834548,0.1806597532637662,0.1975567362389941,0.19869329248654807,0.2039663335790304,0.17249574851454783,0.19133921793330577,0.13224992782819897,0.17284885443596162,0.14855494340178457,0.19950043002841036,0.1728545829588356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 11:00:00+00:00,0.18725142156878627,0.13889768490192222,0.1629617083166134,0.15739223614770292,0.2018708066032638,0.1979959934996869,0.1973616669031591,0.18502916451848372,0.187676895425547,0.18342167838702012,0.08564611507284707,0.1894863870364359,0.194978488590607,0.18991899425214853,0.1951454416978935,0.19238341813598173,0.15459835286777704,0.12643610959100746,0.20410422776616374,0.19801838843556716,0.18070574473011555,0.19858611058541303,0.19730655376626974,0.20405021986298724,0.1734781161389211,0.1929717362933881,0.13539992638323955,0.17687394945524662,0.15031371260048165,0.20019446537180377,0.16386628320009428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 12:00:00+00:00,0.18723771653734475,0.1387239341422528,0.16300908230857358,0.15743671619748514,0.2016226945153117,0.19806961636648673,0.19732783652308933,0.1845920881818433,0.18771106672489127,0.1834935523738388,0.08573940673861205,0.18932745172457421,0.19504308070418,0.190022589262864,0.1951942752965231,0.19205015417782118,0.15453727654711713,0.12655592910236863,0.20400612486916336,0.1982408720180684,0.18077278876904299,0.19859244009456525,0.19733906056432826,0.20410568807792231,0.17354631819044888,0.1931436759142957,0.1354135900816684,0.17695299956031313,0.150397731392891,0.20030275156693123,0.16388815520990882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 13:00:00+00:00,0.18838461351724223,0.1389229906067999,0.1629874036727871,0.15754469252129402,0.20158587798969468,0.19786231249168618,0.19726543673038896,0.18460332621993492,0.18766776561430892,0.18353796529841732,0.08494437274914272,0.18928449635967892,0.19503611719889033,0.1900187395653928,0.19517396004228166,0.192036451027182,0.15459916719454642,0.1263713316976692,0.20395298937004178,0.19820297855706756,0.18050902036641142,0.19852800016551758,0.1971991125210491,0.2040842280963043,0.17367620170515152,0.19315876213954328,0.1353359465174119,0.17705286102162904,0.15032732417772632,0.20028627871123336,0.16384332409125657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 14:00:00+00:00,0.18845497004254003,0.1387819109089068,0.16292016294748973,0.15751193064508076,0.20190122176586492,0.19778823127532122,0.19727034590511563,0.1845462107713079,0.18754495183173214,0.1835106840925946,0.08534102878456856,0.18932855124503195,0.195029877246153,0.18999504072241138,0.19510945096476925,0.19206149482746682,0.15484289406286703,0.12618285049811878,0.20399869510394195,0.19807514562272066,0.18049063894789544,0.19845382057302274,0.1969601303655505,0.204118920927549,0.17381521986866655,0.19308972337219146,0.13555271359628937,0.17739774576912035,0.15011276615123625,0.2000677473892037,0.16394902682426793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 15:00:00+00:00,0.18827841075814708,0.13815395192240998,0.16249728536388536,0.15705927419303975,0.20190008307319926,0.19775504548549208,0.19682599288683106,0.18435266361960978,0.18749451267310024,0.18333710578001852,0.08550125450808052,0.18914821228892298,0.19496932196794278,0.18987536557338025,0.1951032994699435,0.19205503248969147,0.15481010467240844,0.12609388005201805,0.20410760613298487,0.1979599978573018,0.18016656845044754,0.1985418520159524,0.19686826157723514,0.20410463295421843,0.17342039351043376,0.1928947526622842,0.13508407463800065,0.18188061197995695,0.1500294617828238,0.20005458705853538,0.16362701387753037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 16:00:00+00:00,0.18872277162596332,0.13828553726015236,0.16255993002425168,0.15709715948413297,0.20192564350527153,0.19780062289519898,0.19664841158036667,0.18438156060881433,0.1867761893092242,0.18346685023922332,0.08609504753842241,0.18913404199997888,0.19496480991857512,0.18991831059807807,0.195072891051161,0.19126539391484423,0.15487325676427874,0.12614469185455207,0.20411827385967052,0.19797642639386892,0.180186830975531,0.19859482411105164,0.196896023854507,0.20385153662799713,0.17347719357402577,0.19292697837917738,0.1351526391219119,0.1821614079204021,0.15008870792200188,0.2002537442095857,0.16359578598190627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
