,SUSHI,PERP,AXS,AUDIO,AAVE,BTC,COMP,UNI,RAY,TRX,CEL,GRT,ENJ,DOGE,XRP,MATIC,REN,SHIB,BNB,LTC,FTM,BCH,CHZ,LINK,SOL,SNX,OMG,CRV,HT,YFI,FTT,ETH,MKR,BNT,SRM,DYDX,BAT,SPELL,HNT,OKB,CRO,MANA,SAND,LRC,IMX,GALA,ENS,1INCH,AVAX,DOT,LOOKS,LEO,SLP,WAVES,BIT,ATOM,APE,CVX,GMT,FXS,NEAR,ALGO,LDO
2021-09-26 00:00:00+00:00,0.9759753891879007,0.6206886537860917,0.6401239229098211,-1.5759221507169454,1.1383408769850503,-0.6107725683833366,0.7390379889543525,0.351485125860702,0.2655364413185821,0.968070332207324,-1.4586019590851291,0.5021151560119091,0.6355717846548337,-0.6909397295023965,0.22932071246725216,-1.084363671026052,1.1625193835158438,-1.179343570765889,-1.2439178290652964,-0.7305006428141176,0.8203122708617294,0.028628861698370936,-0.8872334977587203,1.3668073544308645,-0.6317086391928243,0.8005874779249658,-0.4612506819196177,-1.256442636137224,-1.6845263162045065,2.514884622767789,1.846554065318969,-0.2948937706622908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 01:00:00+00:00,0.9955363769864749,0.8003114053672996,0.5547502319486748,-1.261362069023093,1.3724472168354043,-0.635669746722647,0.567789657743652,0.6242671708159934,0.18841078461859187,0.8253017227842057,-1.507151605192902,0.570207676352105,0.8205430212123397,-0.7440687687969235,0.3348698173671964,-0.9967865491198553,1.0299588952923313,-1.141940637172636,-1.3126285309792587,-0.9858322934369509,0.8103894478008448,-0.06631889092073276,-0.568535281422056,1.4534397837087845,-0.5419690345246863,0.7324877741594217,-0.41727786938409556,-1.3559030966720136,-1.6583382453461228,2.469621159540436,1.6986744193625776,-0.12884655557218458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 02:00:00+00:00,1.3046215994381503,0.8941099463720782,0.5687339953483478,-1.6281628138117643,1.5360333214126152,-0.301402138062605,0.5245011983111381,0.4276562688780035,0.00721527170634378,0.6691648664072348,-1.5653206426585795,-0.04529654723313007,0.7523589603332728,-0.47651255094057327,0.4552417754452884,-0.7179750870688923,1.1016616484601107,-1.1790040804689195,-1.1937142210938367,-0.8432729328813995,0.6686399577230366,-0.06968574681304789,-0.6080520530713769,2.068480559774598,-0.8585866458086179,0.9614139053634809,-0.4059400986368223,-1.340979289824118,-1.8825604541646725,2.2455555679103867,1.7589459538682681,0.3290362163770589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 03:00:00+00:00,1.2115540183680509,0.952620259590129,0.6491617070071867,-1.5544761001369116,1.2189009398013488,-0.34542528925862764,0.6006145094565212,0.03259855875032898,-0.214337307646973,0.4979746415160677,-1.7109661085888694,0.05625681688672956,0.6493568770513749,-0.6642191687938567,0.4417496281320816,0.3911286377023722,1.0402431088727027,-1.2276609618136844,-1.3889080715036826,-0.448421826098838,0.3337491928981346,-0.2649285280900169,-0.910111659292511,3.1278546877222944,-0.930719477819528,1.0403413258070815,-0.36930670763751494,-0.5077990869961191,-1.9809687794258521,2.230360791815889,1.507962204246156,-0.02440630072869064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 04:00:00+00:00,1.2066140624514399,0.6451512152030234,0.5769653376701843,-1.4023358961626526,1.3011742598355345,-0.4575578828367747,0.4870524726474175,0.11165260358767362,-0.21303931947638638,0.22711820632154628,-1.6334581800448753,0.21550067766888376,0.40708861720120554,-0.8239145004435392,0.25906094043691397,0.36315400894218675,1.144105521150627,-1.1653492869603124,-1.7606942290082042,0.41213555523732703,0.29831331210699985,-0.21653568262665726,-0.7113803240630556,3.1825696528466896,-0.7127149142881025,1.1492300371220905,-0.48297008216601467,0.48573140302763657,-1.8747227030812952,2.2906652217050585,1.4418303798122796,0.03091374744810036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 05:00:00+00:00,1.2389671446903179,0.5129691685431439,0.5421119957881951,-1.4226938513621021,1.3765599955313403,-0.49358437093887203,0.6275858611770888,0.5698693217245225,-0.3509871011811516,0.28607622760463913,-1.536726845611877,0.5494268795596495,0.2764630655697415,-0.7736738401897119,0.321939931485381,-0.06610417433928131,1.2862288161528785,-1.2930209966355646,-1.6042164092987221,-0.2940592202539566,0.45985314131495214,-0.23722864223402546,-0.5598182349707544,2.3370354339790675,-0.7902898094632652,1.0370352856521183,-0.5986818056240315,0.4541857290131532,-1.7677886380492003,2.1276601482170374,1.3703785242929423,-0.25530055538820356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 06:00:00+00:00,1.330692218669663,0.9415467597454159,0.5405024059751083,-1.2803209088668512,1.5597108989493687,-0.42816268025836607,1.4564713557557718,0.06401595885338589,-0.5012997930023788,0.14269501995636294,-1.5736072791525202,0.167432272818737,0.25899820354104824,-0.9496509865414754,0.1288774959769574,-0.17431064700681462,1.2248469603695864,-1.2679031205581726,-1.5137341797232922,-0.0481160689701125,0.5353982282704273,-0.4256213575003276,-0.6872264618847939,2.2082508808360095,-0.8491743581613198,1.142667881053073,-0.6759324794870264,0.08366213998106188,-1.923380314713521,2.2138258620347546,1.0826580381044828,0.14369385988576897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 07:00:00+00:00,1.359770564903283,0.6719849587279514,0.49545271726470497,-1.504522320555433,1.4386522180777412,-0.4922160843718913,1.1478628853983555,0.2899475919590449,-0.42286353770368346,0.27410100456236325,-1.670338376700644,0.20124671789337276,1.2279728867612703,-0.907981027045773,0.17066561006951966,0.1623946996125621,1.1292966769493222,-1.28979653017076,-1.4174602249809023,-0.4216578853965998,0.2690817028742966,-0.4820025740956102,-0.2728173981398605,2.2515570341696094,-0.7455330573576436,1.2222401130445564,-0.7497290729578352,0.09542273965580457,-1.911079403068609,2.2491340593881493,1.1255515056235361,-0.1799854351488693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 08:00:00+00:00,1.2867502969086566,0.6740248753849866,0.4418131571196975,-1.4169290905547316,1.5467963997633878,-0.2910499945866187,1.1236459536152954,0.4615375845712855,-0.20810818277936924,0.42569708055595484,-1.9081166655694322,0.676515976510537,1.1269731810784913,-0.6465035440189427,0.5227747254430521,0.4104014733080566,1.1104586166769785,-1.2522657321355708,-1.392186239183601,-0.1324536642605236,-0.01867137079160028,-0.40267613111688383,-0.3440491522244759,2.2331332173426004,-0.6385026876310826,1.2845628629702803,-0.7616295359935952,-0.06089132996514897,-2.009864841275796,1.7455361098748479,0.9398320858275302,-0.10704122992271257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 09:00:00+00:00,1.3273780208302508,0.495406486449445,0.3164479817952734,-1.3577542666094815,2.413884727972594,-0.26144001099521574,1.796794587511586,0.03813765751212504,-0.13480715808857238,0.12357502153365088,-2.647905267597486,0.6615000618600754,1.0529912020327308,-0.6930624187955813,0.8038178330346696,0.8836222572836525,1.099344424965016,-1.1958656670483043,-2.1728626799823045,0.12074452543266022,0.2263361245091441,-0.4519989312748703,0.3173937098662424,2.1203592595751264,-0.4722911421229622,1.3757172623197078,-0.818365452675961,-0.25558762159113435,-2.308013712637752,2.0285315146137597,1.1386729693837532,0.5769183392286701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
